Tasting_Score,Price,Region,Wine_Name,Winery,Grape_Variety
90,18.0,Western Australia,West Cape Howe 2006 Shiraz (Western Australia),West Cape Howe,Shiraz
84,28.0,Margaret River,Streicker 2016 Bridgeland Block Rosé (Margaret River),Streicker,Rosé
91,75.0,Margaret River,Cullen 2007 Kevin John Chardonnay (Margaret River),Cullen,Chardonnay
84,15.0,Pemberton,Fonty's Pool 2007 Single Vineyard Pinot Noir (Pemberton),Fonty's Pool,Pinot Noir
88,17.0,Margaret River,Vinaceous 2013 Raconteur Cabernet Sauvignon (Margaret River),Vinaceous,Cabernet Sauvignon
90,22.0,Margaret River,Stella Bella 2010 Chardonnay (Margaret River),Stella Bella,Chardonnay
89,19.0,Western Australia,West Cape Howe 2005 Shiraz (Western Australia),West Cape Howe,Shiraz
89,23.0,Frankland River,Alkoomi 2004 Shiraz-Viognier (Frankland River),Alkoomi,Shiraz-Viognier
84,20.0,Margaret River,Juniper 2007 Crossing Semillon-Sauvignon Blanc (Margaret River),Juniper,Semillon-Sauvignon Blanc
89,18.0,Western Australia,Frankland Estate 2002 Cooladerra Vineyard Riesling (Western Australia),Frankland Estate,Riesling
88,22.0,Margaret River,Leeuwin Estate 2002 Art Series Riesling (Margaret River),Leeuwin Estate,Riesling
88,17.0,Frankland River,Alkoomi 2002 Riesling (Frankland River),Alkoomi,Riesling
89,16.0,Margaret River,Xanadu 2013 Exmoor Cabernet Sauvignon (Margaret River),Xanadu,Cabernet Sauvignon
90,22.0,Margaret River,Leeuwin Estate 2015 Art Series Riesling (Margaret River),Leeuwin Estate,Riesling
87,13.0,Western Australia,Marquee 2007 Artisan Wines Classic Riesling (Western Australia),Marquee,Riesling
82,29.0,Western Australia,Larry Cherubino 2007 The Yard Pedestal Vineyard Semillon-Sauvignon Blanc (Western Australia),Larry Cherubino,Semillon-Sauvignon Blanc
88,30.0,Margaret River,Evans & Tate 2004 The Reserve Cabernet Sauvignon (Margaret River),Evans & Tate,Cabernet Sauvignon
88,16.0,Margaret River,Ringbolt 2006 Cabernet Sauvignon (Margaret River),Ringbolt,Cabernet Sauvignon
88,19.0,Margaret River,Wildberry Estate 2005 Cabernet Sauvignon-Merlot (Margaret River),Wildberry Estate,Cabernet Sauvignon-Merlot
84,26.0,Margaret River,Evans & Tate 2004 The Reserve Chardonnay (Margaret River),Evans & Tate,Chardonnay
84,18.0,Margaret River,Xanadu 2005 Cabernet Sauvignon (Margaret River),Xanadu,Cabernet Sauvignon
89,22.0,Margaret River,Howard Park 2012 Miamup Cabernet Sauvignon (Margaret River),Howard Park,Cabernet Sauvignon
87,22.0,Mount Barker,Capel Vale 2005 Regional Series Shiraz (Mount Barker),Capel Vale,Shiraz
89,24.0,Western Australia,West Cape Howe 2007 Book Ends Cabernet Sauvignon (Western Australia),West Cape Howe,Cabernet Sauvignon
84,20.0,Western Australia,West Cape Howe 2007 Pinot Noir (Western Australia),West Cape Howe,Pinot Noir
91,25.0,Frankland River,Frankland Estate 2014 Rocky Gully Riesling (Frankland River),Frankland Estate,Riesling
86,24.0,Western Australia,Sandalford 2000 Merlot (Western Australia),Sandalford,Merlot
85,21.0,Western Australia,Plantagenet 1999 Mount Barker Chardonnay (Western Australia),Plantagenet,Chardonnay
92,110.0,Margaret River,Vasse Felix 2011 Heytesbury Red (Margaret River),Vasse Felix,Bordeaux-style Red Blend
86,13.0,Margaret River,Howling Wolves 2004 Shiraz (Margaret River),Howling Wolves,Shiraz
89,35.0,Margaret River,Leeuwin Estate 2008 Art Series Shiraz (Margaret River),Leeuwin Estate,Shiraz
92,21.0,Great Southern,Plantagenet 2014 Chardonnay (Great Southern),Plantagenet,Chardonnay
92,20.0,Margaret River,Xanadu 2015 DJL Chardonnay (Margaret River),Xanadu,Chardonnay
83,11.0,Western Australia,Bush Bike 2005 Unoaked Chardonnay (Western Australia),Bush Bike,Chardonnay
90,40.0,Margaret River,Vasse Felix 2012 Cabernet Sauvignon (Margaret River),Vasse Felix,Cabernet Sauvignon
86,17.0,Western Australia,West Cape Howe 2011 Unwooded Chardonnay (Western Australia),West Cape Howe,Chardonnay
94,50.0,Margaret River,Robert Oatley 2011 The Pennant Hand Selected Limited Release Chardonnay (Margaret River),Robert Oatley,Chardonnay
